"Eco_Ctrl1"	"Eco_Ctrl2"	"Eco_Exp1"	"Eco_Exp2"
"b0119"	3.07376509594029	8.01554546429675	3.5141870733545	2.06961277083104
"b0120"	1.02458836531343	0	1.59735776061568	2.06961277083104
"b0121"	5.12294182656715	8.01554546429675	8.94520345944781	2.06961277083104
"b0122"	3.07376509594029	0	4.15313017760077	2.06961277083104
"b0123"	4.09835346125372	5.34369697619783	0.638943104246272	2.06961277083104
"b0124"	23.5655324022089	21.3747879047913	6.38943104246272	5.17403192707759
"b0125"	21.516355671582	13.3592424404946	15.3346345019105	13.4524830104017
"b0126"	11.2704720184477	13.3592424404946	20.4461793358807	7.24364469790863
"b0127"	1.02458836531343	0	1.59735776061568	2.06961277083104
"b0128"	1.02458836531343	2.67184848809892	1.27788620849254	4.13922554166207
"b0129"	3.07376509594029	0	0	0
"b0130"	0	0	0	0
"b0131"	7.17211855719401	16.0310909285935	23.3214233049889	16.5569021666483
"b0132"	1.02458836531343	2.67184848809892	0.638943104246272	1.03480638541552
"b0133"	9.22129528782087	13.3592424404946	20.1267077837576	26.9049660208035
"b0134"	6.14753019188058	8.01554546429675	10.2230896679404	9.31325746873966
"b0135"	0	0	0	0
"b0136"	0	0	0.319471552123136	0
"b0137"	0	0	0.319471552123136	0
"b0138"	0	0	0	0
"b0139"	0	0	0	0
"b0140"	1.02458836531343	0	0	0
"b0141"	0	0	0	0
"b0142"	0	0	0	0
"b0143"	5.12294182656715	8.01554546429675	7.66731725095527	10.3480638541552
"b0144"	0	0	0.638943104246272	1.03480638541552
"b0145"	17.4180022103283	10.6873939523957	12.4593905328023	16.5569021666483
"b0146"	1.02458836531343	8.01554546429675	1.27788620849254	2.06961277083104
"b0147"	0	0	0.319471552123136	0
"b0148"	3.07376509594029	2.67184848809892	5.75048793821645	5.17403192707759
"b0149"	6.14753019188058	10.6873939523957	4.15313017760077	8.27845108332414
"b0150"	10.2458836531343	8.01554546429675	1.91682931273882	1.03480638541552
"b0151"	0	0	0	0
"b0152"	0	0	0	0
"b0153"	3.07376509594029	0	0	0
"b0154"	14.344237114388	13.3592424404946	8.30626035520154	10.3480638541552
"b0155"	0	0	0	0
"b0156"	14.344237114388	8.01554546429675	15.9735776061568	18.6265149374793
"b0157"	0	0	2.55577241698509	3.10441915624655
"b0158"	0	0	0.958414656369409	0
"b0159"	16.3934138450149	16.0310909285935	21.4045939922501	18.6265149374793
"b0160"	0	0	1.59735776061568	1.03480638541552
"b0161"	2.04917673062686	2.67184848809892	6.70890259458586	7.24364469790863
"b0162"	0	2.67184848809892	0	0
"b0163"	4.09835346125372	2.67184848809892	3.19471552123136	0
"b0164"	0	0	0	0
"b0166"	18.4425905756417	26.7184848809892	23.9603664092352	39.3226426457897
"b0167"	2.04917673062686	0	1.59735776061568	4.13922554166207
"b0168"	27.6638858634626	34.7340303452859	33.8639845250524	19.6613213228948
"b0169"	293.032272479641	229.778969976507	269.314518439804	264.910434666373
"b0170"	163.934138450149	104.202091035858	126.510734640762	104.515444926967
"b0171"	2.04917673062686	10.6873939523957	3.5141870733545	1.03480638541552
"b0172"	42.0081229778506	26.7184848809892	65.4916681852429	39.3226426457897
"b0173"	1.02458836531343	2.67184848809892	4.79207328184704	9.31325746873966
"b0174"	11.2704720184477	18.7029394166924	16.2930491582799	14.4872893958173
"b0175"	7.17211855719401	2.67184848809892	8.94520345944781	5.17403192707759
"b0176"	7.17211855719401	8.01554546429675	13.4178051891717	12.4176766249862
"b0177"	18.4425905756417	16.0310909285935	23.0019517528658	20.6961277083104
"b0178"	19.4671789409552	24.0466363928902	16.2930491582799	13.4524830104017
"b0179"	17.4180022103283	8.01554546429675	15.0151629497874	22.7657404791414
"b0180"	18.4425905756417	13.3592424404946	17.2514638146494	25.8701596353879
"b0181"	17.4180022103283	40.0777273214837	20.1267077837576	39.3226426457897
"b0182"	1.02458836531343	5.34369697619783	2.87524396910823	5.17403192707759
"b0183"	0	0	0.638943104246272	2.06961277083104
"b0184"	13.3196487490746	8.01554546429675	9.58414656369409	8.27845108332414
