"baseMean"	"log2FoldChange"	"lfcSE"	"stat"	"pvalue"	"padj"
"b0122"	2.32412701109302	-0.810632792070126	2.08295010119192	-0.389175329551227	0.697146451923285	NA
"b0123"	3.03765157813222	1.92098902692597	1.78172722072389	1.07816112622756	0.280961856736934	NA
"b0124"	14.1259458191351	1.94110602769781	0.842842122256371	2.30304819424695	0.0212761316309748	0.289077875420853
"b0125"	15.9156789060972	0.314276550042487	0.788286647711739	0.398683081788557	0.690126735325203	0.997650430522366
"b0126"	13.0798846231829	-0.234881976253812	0.913097718664477	-0.257236406851785	0.796996280763375	0.997650430522366
"b0127"	1.17288972419004	-1.27821787024674	2.80505257270633	-0.455684104705927	0.648617153856297	NA
"b0128"	2.27838715089174	-0.617510373834526	2.07328385739812	-0.29784169284445	0.765823991545152	NA
"b0129"	0.768441273985073	3.96112589243572	3.92011850081391	1.01046075306481	0.312274593601102	NA
"b0130"	0	NA	NA	NA	NA	NA
"b0131"	15.7703837393562	-0.901687783712157	0.840372354997543	-1.07296221532037	0.283288069526333	0.94681841419229
"b0132"	1.34254658576853	1.09731794416485	2.55143066835265	0.430079467874917	0.667137835084833	NA
"b0133"	17.4030528832191	-1.09870328766444	0.793764351736612	-1.38416809127379	0.166306991309113	0.842885364928868
"b0134"	8.42485569821434	-0.503525258240324	1.07725730681905	-0.467414103439358	0.640203634135534	0.997650430522366
"b0135"	0	NA	NA	NA	NA	NA
"b0136"	0.0798678880307841	0.269440393348403	4.95787433779403	0.0543459505002882	0.956659540416655	NA
"b0137"	0.0798678880307841	0.269440393348403	4.95787433779403	0.0543459505002882	0.956659540416655	NA
"b0138"	0	NA	NA	NA	NA	NA
"b0139"	0	NA	NA	NA	NA	NA
"b0140"	0.256147091328358	2.80433699313372	4.96462506489136	0.56486380269989	0.572166405863886	NA
"b0141"	0	NA	NA	NA	NA	NA
"b0142"	0	NA	NA	NA	NA	NA
"b0143"	7.78846709899359	-0.496421662474679	1.12599840424441	-0.44087243872055	0.659305347679885	0.997650430522366
"b0144"	0.418437372415448	-1.44354695849773	4.5615061539495	-0.316462788775997	0.751651265153454	NA
"b0145"	14.2804222155436	0.0214649157558754	0.835563399552641	0.0256891526931023	0.979505275900167	0.997650430522366
"b0146"	3.09690820223344	1.33466217429684	1.80294661762448	0.740267161129462	0.459137902707302	NA
"b0147"	0.0798678880307841	0.269440393348403	4.95787433779403	0.0543459505002882	0.956659540416655	NA
"b0148"	4.16753336233331	-0.91247858122214	1.53153055512615	-0.595795218167867	0.551312038598778	NA
"b0149"	7.31662635130029	0.429330699704583	1.15512571805191	0.371674435946798	0.710135260781166	NA
"b0150"	5.30326620389635	2.55887128791135	1.38879148780744	1.8425165407308	0.0653996293065992	NA
"b0151"	0	NA	NA	NA	NA	NA
"b0152"	0	NA	NA	NA	NA	NA
"b0153"	0.768441273985073	3.96112589243572	3.92011850081391	1.01046075306481	0.312274593601102	NA
"b0154"	11.5894509410598	0.594227028927871	0.905654752167529	0.65612975309376	0.511740642185274	0.997650430522366
"b0155"	0	NA	NA	NA	NA	NA
"b0156"	14.2399687805802	-0.553998481060049	0.848800165851958	-0.652684228099778	0.51395987242246	0.997650430522366
"b0157"	1.41504789330791	-3.21090973960936	2.79889713379198	-1.14720534057612	0.251296764868996	NA
"b0158"	0.239603664092352	-0.748230261662049	4.9209700357363	-0.152049343163719	0.879148017836065	NA
"b0159"	18.1139034258345	-0.309102088078668	0.744097013235066	-0.415405629347716	0.677844986384795	0.997650430522366
"b0160"	0.6580410365078	-2.12598339942084	3.77459134722409	-0.563235382019388	0.573274612691199	NA
"b0161"	4.66839312780507	-1.60580259931338	1.52286058100078	-1.05446461701576	0.291670251909537	NA
"b0162"	0.667962122024729	3.45216671303574	4.2303749349379	0.816042730521335	0.414475696799737	NA
"b0163"	2.491229367646	0.973434728082052	2.0265131329289	0.480349577934962	0.630978841237011	NA
"b0164"	0	NA	NA	NA	NA	NA
"b0166"	27.111021127914	-0.506112565081121	0.64588091807027	-0.7836004299264	0.433274603464625	0.997650430522366
"b0167"	1.94644000822615	-1.15823375853726	2.29836729147327	-0.503937626868519	0.61430520840539	NA
"b0168"	28.980805514174	0.169691701703589	0.615740947254514	0.275589438156121	0.782863422766239	0.997650430522366
"b0169"	264.259048890581	-0.0168226643382419	0.266488584925916	-0.0631271479899169	0.949665256437086	0.997650430522366
"b0170"	124.790602263434	0.237550343541895	0.350712930370348	0.677335572689166	0.49819306574366	0.997650430522366
"b0171"	4.32139103544813	1.26971366966904	1.55613331992627	0.815941444997273	0.414533626522708	NA
"b0172"	43.3852296724681	-0.583017988739639	0.536903815839703	-1.08588907647791	0.277528070293627	0.932553999642564
"b0173"	4.45044190099976	-2.08522539210457	1.66071223313838	-1.2556211428418	0.209253362036331	NA
"b0174"	15.1884374973093	-0.102236850674132	0.814121080028853	-0.12557941709421	0.900064856731876	0.997650430522366
"b0175"	5.99080060795458	-0.442699816218615	1.28701304041448	-0.343974615887375	0.730865376165563	NA
"b0176"	10.2557864589122	-0.785677318551435	0.99052174686141	-0.793195425583487	0.427663972266198	0.997650430522366
